id,title,genre,budget,revenue,production_companies,united_states,english,title_change,popularity,vote_average,vote_count,month,year,runtime,successful
1,Finding Nemo,Animation,94000000,940335536,1,Yes,Yes,No,85.688789,7.6,6122,5,2003,100,1
2,Dancer in the Dark,Drama,12800000,40031879,26,Yes,Yes,No,22.022228,7.6,377,5,2000,140,1
3,My Life Without Me,Drama,0,9726954,2,No,Yes,No,7.958831,7.2,77,3,2003,106,1
4,Pirates of the Caribbean: The Curse of the Black Pearl,Action,140000000,655011224,2,Yes,Yes,No,271.972889,7.5,6985,7,2003,143,1
5,Kill Bill: Vol. 1,Action,30000000,180949000,3,Yes,Yes,No,79.754966,7.7,4949,10,2003,111,1
6,Jarhead,Drama,72000000,96889998,4,Yes,Yes,No,32.227223,6.6,765,11,2005,125,0
7,The Simpsons Movie,Animation,75000000,527068851,2,Yes,Yes,No,46.875375,6.9,2264,7,2007,87,1
8,Eternal Sunshine of the Spotless Mind,Drama,20000000,72258126,3,Yes,Yes,No,56.481487,7.9,3652,3,2004,108,1
9,Amores perros,Drama,2000000,20908467,2,No,No,No,23.281616,7.6,521,6,2000,154,1
10,Pirates of the Caribbean: Dead Man's Chest,Action,200000000,1065659812,3,Yes,Yes,No,145.847379,7,5246,6,2006,151,1
11,A History of Violence,Drama,32000000,60740827,3,Yes,Yes,No,34.628738,6.9,832,9,2005,96,0
12,8 Mile,Drama,41000000,215000000,2,Yes,Yes,No,32.798571,6.8,1626,11,2002,110,1
13,Walk the Line,Drama,28000000,186438883,5,Yes,Yes,No,35.580032,7.3,718,9,2005,136,1
14,Million Dollar Baby,Drama,30000000,216763646,5,Yes,Yes,No,70.456012,7.7,2439,12,2004,132,1
15,Billy Elliot,Drama,5000000,110000000,6,No,Yes,No,20.428237,7.4,750,5,2000,110,1
16,War of the Worlds,Thriller,132000000,591739379,4,Yes,Yes,No,48.572726,6.2,2322,6,2005,116,1
17,Memento,Thriller,9000000,39723096,4,Yes,Yes,No,60.715151,8.1,4028,10,2000,113,1
18,Hero,Action,31000000,177394432,2,No,No,Yes,23.607392,7.2,635,12,2002,99,1
19,Before Sunset,Drama,2700000,15992615,3,Yes,Yes,No,14.799323,7.6,718,2,2004,80,1
20,Open Water,Drama,130000,54667954,1,Yes,Yes,No,15.611857,5.4,315,8,2004,79,1
21,Gladiator,Action,103000000,457640427,7,Yes,Yes,No,95.301296,7.9,5439,5,2000,155,1
22,Snatch,Thriller,10000000,83557872,3,Yes,Yes,No,53.595686,7.7,2912,9,2000,103,1
23,Match Point,Drama,15000000,85306374,1,Yes,Yes,No,30.669913,7.3,1105,10,2005,124,1
24,Charlie and the Chocolate Factory,Comedy,150000000,474968763,6,Yes,Yes,No,53.905592,6.7,3624,7,2005,115,1
25,The Lord of the Rings: The Fellowship of the Ring,Action,93000000,871368364,3,Yes,Yes,No,138.049577,8,8705,12,2001,178,1
26,The Lord of the Rings: The Two Towers,Action,79000000,926287400,3,Yes,Yes,No,106.914973,8,7487,12,2002,179,1
27,The Lord of the Rings: The Return of the King,Action,94000000,1118888979,2,Yes,Yes,No,123.630332,8.1,8064,12,2003,201,1
28,Spirited Away,Animation,15000000,274925095,1,No,No,Yes,118.968562,8.3,3840,7,2001,125,1
29,"O Brother, Where Art Thou?",Action,26000000,71868327,5,Yes,Yes,No,39.742009,7.3,1112,8,2000,106,1
30,Donnie Darko,Drama,6000000,1270522,3,Yes,Yes,No,61.210016,7.7,3452,1,2001,113,0
31,Brokeback Mountain,Drama,14000000,178043761,4,Yes,Yes,No,44.135568,7.5,1480,9,2005,134,1
32,"Crouching Tiger, Hidden Dragon",Action,17000000,213525736,8,Yes,No,Yes,45.742254,7.2,927,10,2000,120,1
33,Lost in Translation,Drama,4000000,119723856,1,Yes,Yes,No,45.66662,7.3,1895,8,2003,102,1
34,The Dark Knight,Action,185000000,1004558444,5,Yes,Yes,No,187.322927,8.2,12002,7,2008,152,1
35,Ocean's Eleven,Thriller,85000000,450717150,6,Yes,Yes,No,60.929352,7.2,3783,12,2001,116,1
36,Ocean's Twelve,Thriller,110000000,362744280,5,Yes,Yes,No,76.840712,6.4,2124,12,2004,125,1
37,K-PAX,Drama,48000000,50315140,4,Yes,Yes,No,30.920075,7.1,695,10,2001,120,0
38,28 Days Later,Thriller,5000000,82719885,2,No,Yes,No,45.490374,7.1,1777,10,2002,113,1
39,Saw,Horror,1200000,103911669,4,Yes,Yes,No,63.655973,7.2,2184,10,2004,103,1
40,The Interpreter,Thriller,80000000,162944923,6,Yes,Yes,No,18.69984,6.2,392,4,2005,128,1
41,Minority Report,Action,102000000,358372926,7,Yes,Yes,No,65.948959,7.1,2608,6,2002,145,1
42,The Good German,Drama,32000000,5914908,3,Yes,Yes,No,5.347936,5.9,86,12,2006,108,0
43,Lucky Number Slevin,Drama,27000000,56308881,6,Yes,Yes,No,36.921445,7.4,1323,2,2006,110,1
44,Sin City,Action,40000000,158733820,3,Yes,Yes,No,66.003433,7.2,2691,4,2005,124,1
45,Sin City: A Dame to Kill For,Thriller,65000000,39407616,7,Yes,Yes,No,85.428395,6.3,1286,8,2014,102,0
46,Amélie,Comedy,10000000,173921954,9,No,No,Yes,73.720244,7.8,3310,4,2001,122,1
47,Star Trek: Nemesis,Action,60000000,67312826,1,Yes,Yes,No,21.605533,6.1,479,12,2002,117,0
48,Hotel Rwanda,Drama,17500000,38000000,8,Yes,Yes,No,28.60542,7.5,793,9,2004,121,1
49,Saw III,Thriller,10000000,163876815,3,Yes,Yes,No,33.124871,6.1,1071,10,2006,108,1
50,Saw II,Horror,4000000,152925093,5,Yes,Yes,No,42.187986,6.3,1251,10,2005,92,1
51,Indiana Jones and the Kingdom of the Crystal Skull,Action,185000000,786636033,2,Yes,Yes,No,75.674458,5.7,2495,5,2008,122,1
52,Volver,Drama,12899867,85582407,1,No,No,No,19.747809,7.3,406,3,2006,121,1
53,Syriana,Drama,50000000,94000000,6,Yes,Yes,No,16.871194,6.3,451,11,2005,128,0
54,High Fidelity,Drama,30000000,47126295,2,Yes,Yes,No,23.982956,7,628,3,2000,113,0
55,About a Boy,Drama,27000000,129000000,1,Yes,Yes,No,28.227984,6.6,607,4,2002,101,1
56,King Kong,Action,207000000,550000000,4,Yes,Yes,No,61.22601,6.6,2337,12,2005,187,1
57,Oliver Twist,Drama,50000000,42093706,3,No,Yes,No,20.415572,6.7,274,9,2005,130,0
58,Batman Begins,Action,150000000,374218673,6,Yes,Yes,No,115.040024,7.5,7359,6,2005,140,1
59,Underworld,Action,22000000,95708457,5,Yes,Yes,No,81.829237,6.6,2512,9,2003,121,1
60,Pirates of the Caribbean: At World's End,Action,300000000,961000000,3,Yes,Yes,No,139.082615,6.9,4500,5,2007,169,1
61,Riding Giants,Documentary,2600000,3166000,0,Yes,Yes,No,0.895946,7.6,23,7,2004,105,0
62,Dave Chappelle's Block Party,Comedy,3000000,11718595,1,Yes,Yes,No,1.697846,6.4,28,9,2005,100,1
63,Terminator 3: Rise of the Machines,Action,200000000,435000000,6,Yes,Yes,No,69.405188,5.9,2143,7,2003,109,1
64,Ocean's Thirteen,Thriller,85000000,311312624,4,Yes,Yes,No,42.069993,6.5,1999,6,2007,122,1
65,Swimming Pool,Thriller,7800000,22441323,6,No,Yes,No,11.000654,6.4,153,5,2003,102,1
66,Bruce Almighty,Comedy,80000000,484572835,4,Yes,Yes,No,109.684788,6.4,3012,5,2003,101,1
67,Catwoman,Action,100000000,82102379,6,Yes,Yes,No,32.271938,4.2,808,7,2004,104,0
68,Insomnia,Thriller,46000000,113714830,3,Yes,Yes,No,41.322708,6.8,1148,5,2002,118,1
69,Mambo Italiano,Comedy,4361898,3031801,1,No,Yes,No,2.080741,5.6,28,6,2003,92,0
70,Mystic River,Drama,25000000,156822020,4,Yes,Yes,No,31.242999,7.6,1422,10,2003,138,1
71,Snakes on a Plane,Action,33000000,62022014,1,Yes,Yes,No,19.642328,5.1,497,8,2006,105,0
72,Brother,Drama,12000000,15250000,6,Yes,Yes,No,5.327714,6.8,107,9,2000,114,0
73,Jurassic Park III,Action,93000000,368780809,2,Yes,Yes,No,1.859364,5.7,2077,7,2001,92,1
74,"Good bye, Lenin!",Drama,4800000,79384880,3,No,No,No,11.086001,7.4,586,2,2003,121,1
75,Summer Storm,Drama,2700000,0,1,No,No,Yes,3.120747,6.7,59,9,2004,98,0
76,The Devil Wears Prada,Drama,35000000,326551094,5,Yes,Yes,No,83.893257,7,3088,6,2006,109,1
77,Inside Man,Drama,45000000,184376254,3,Yes,Yes,No,45.220386,7.3,1630,3,2006,129,1
78,Chocolat,Drama,25000000,152500343,3,Yes,Yes,No,28.727731,6.8,951,12,2000,121,1
